25 25
8 9 grass
8 10 grass
8 11 grass
8 12 grass
8 13 grass
8 14 grass
8 15 grass
8 16 grass
8 17 grass
8 18 grass
8 19 grass
8 20 grass
8 21 grass
8 22 grass
8 23 stone
8 24 grass
9 0 grass
9 1 stone
9 2 grass
9 3 grass
9 4 grass
9 5 grass
9 6 grass
9 7 grass
9 8 grass
9 9 grass
9 10 grass
9 11 grass
9 12 grass
9 13 grass
9 14 grass
9 15 grass
9 16 grass
9 17 grass
9 18 grass
9 19 grass
9 20 grass
9 21 grass
9 22 grass
9 23 stone
9 24 grass
10 0 grass
10 1 stone
10 2 grass
10 3 grass
10 4 grass
10 5 grass
10 6 grass
10 7 grass
10 8 grass
10 9 grass
10 10 grass
10 11 grass
10 12 grass
10 13 grass
10 14 stone
10 15 grass
10 16 grass
10 17 grass
10 18 grass
10 19 grass
10 20 grass
10 21 grass
10 22 grass
10 23 stone
10 24 grass
11 0 grass
11 1 stone
11 2 grass
11 3 grass
11 4 grass
11 5 grass
11 6 grass
11 7 grass
11 8 grass
11 9 grass
11 10 grass
11 11 water
11 12 water
11 13 water
11 14 stone
11 15 grass
11 16 grass
11 17 grass
11 18 grass
11 19 grass
11 20 grass
11 21 grass
11 22 grass
11 23 stone
11 24 grass
12 0 grass
12 1 stone
12 2 grass
12 3 grass
12 4 grass
12 5 grass
12 6 grass
12 7 grass
12 8 stone
12 9 stone
12 10 stone
12 11 water
12 12 water
12 13 water
12 14 stone
12 15 stone
12 16 stone
12 17 grass
12 18 grass
12 19 grass
12 20 grass
12 21 grass
12 22 grass
12 23 stone
12 24 grass
13 0 grass
13 1 stone
13 2 grass
13 3 grass
13 4 grass
13 5 grass
13 6 grass
13 7 grass
13 8 grass
13 9 grass
13 10 stone
13 11 water
13 12 water
13 13 water
13 14 grass
13 15 grass
13 16 grass
13 17 grass
13 18 grass
13 19 grass
13 20 grass
13 21 grass
13 22 grass
13 23 stone
13 24 grass
14 0 grass
14 1 stone
14 2 grass
14 3 grass
14 4 grass
14 5 grass
14 6 grass
14 7 grass
14 8 grass
14 9 grass
14 10 stone
14 11 grass
14 12 grass
14 13 grass
14 14 grass
14 15 grass
14 16 grass
14 17 grass
14 18 grass
14 19 grass
14 20 grass
14 21 grass
14 22 grass
14 23 stone
14 24 grass
15 0 grass
15 1 stone
15 2 grass
15 3 grass
15 4 grass
15 5 grass
15 6 grass
15 7 grass
15 8 grass
15 9 grass
15 10 grass
15 11 grass
15 12 grass
15 13 grass
15 14 grass
15 15 grass
15 16 grass
15 17 grass
15 18 grass
15 19 grass
15 20 grass
15 21 grass
15 22 grass
15 23 stone
15 24 grass
16 0 grass
16 1 stone
16 2 grass
16 3 grass
16 4 grass
16 5 grass
16 6 grass
16 7 grass
16 8 grass
16 9 grass
16 10 grass
16 11 grass
16 12 grass
16 13 grass
16 14 grass
16 15 grass
16 16 stone
16 17 stone
16 18 stone
16 19 grass
16 20 grass
16 21 stone
16 22 stone
16 23 stone
16 24 grass
17 0 grass
17 1 stone
17 2 grass
17 3 grass
17 4 grass
17 5 grass
17 6 grass
17 7 grass
17 8 grass
17 9 grass
17 10 grass
17 11 grass
17 12 grass
17 13 grass
17 14 grass
17 15 grass
17 16 stone
17 17 grass
17 18 grass
17 19 grass
17 20 grass
17 21 grass
17 22 grass
17 23 stone
17 24 grass
18 0 grass
18 1 stone
18 2 grass
18 3 grass
18 4 stone
18 5 stone
18 6 stone
18 7 grass
18 8 grass
18 9 grass
18 10 grass
18 11 grass
18 12 stone
18 13 grass
18 14 grass
18 15 grass
18 16 stone
18 17 grass
18 18 grass
18 19 grass
18 20 grass
18 21 grass
18 22 grass
18 23 stone
18 24 grass
19 0 grass
19 1 stone
19 2 grass
19 3 grass
19 4 grass
19 5 grass
19 6 grass
19 7 grass
19 8 grass
19 9 grass
19 10 grass
19 11 grass
19 12 stone
19 13 grass
19 14 grass
19 15 grass
19 16 grass
19 17 grass
19 18 grass
19 19 grass
19 20 grass
19 21 grass
19 22 grass
19 23 stone
19 24 grass
20 0 grass
20 1 stone
20 2 grass
20 3 grass
20 4 grass
20 5 grass
20 6 grass
20 7 grass
20 8 grass
20 9 grass
20 10 grass
20 11 grass
20 12 stone
20 13 grass
20 14 grass
20 15 grass
20 16 grass
20 17 grass
20 18 grass
20 19 grass
20 20 grass
20 21 grass
20 22 grass
20 23 stone
20 24 grass
21 0 grass
21 1 stone
21 2 grass
21 3 grass
21 4 grass
21 5 grass
21 6 grass
21 7 grass
21 8 grass
21 9 grass
21 10 grass
21 11 grass
21 12 stone
21 13 grass
21 14 grass
21 15 grass
21 16 stone
21 17 grass
21 18 grass
21 19 grass
21 20 grass
21 21 grass
21 22 grass
21 23 stone
21 24 grass
22 0 grass
22 1 stone
22 2 grass
22 3 grass
22 4 grass
22 5 grass
22 6 grass
22 7 grass
22 8 grass
22 9 grass
22 10 grass
22 11 grass
22 12 grass
22 13 grass
22 14 grass
22 15 grass
22 16 stone
22 17 grass
22 18 grass
22 19 grass
22 20 grass
22 21 grass
22 22 grass
22 23 stone
22 24 grass
23 0 grass
23 1 stone
23 2 stone
23 3 stone
23 4 stone
23 5 stone
23 6 stone
23 7 stone
23 8 stone
23 9 stone
23 10 stone
23 11 stone
23 12 stone
23 13 stone
23 14 stone
23 15 stone
23 16 stone
23 17 stone
23 18 stone
23 19 stone
23 20 stone
23 21 stone
23 22 stone
23 23 stone
23 24 grass
24 0 grass
24 1 grass
24 2 grass
24 3 grass
24 4 grass
24 5 grass
24 6 grass
24 7 grass
24 8 grass
24 9 grass
24 10 grass
24 11 grass
24 12 grass
24 13 grass
24 14 grass
24 15 grass
24 16 grass
24 17 grass
24 18 grass
24 19 grass
24 20 grass
24 21 grass
24 22 grass
24 23 grass
24 24 grass
